,formulas,rmse,pearson_coeff,pval
140,(EA_A + IP_B)/(exp(EA_A)),0.2096513046669941,0.04143579376901811,0.7116689446311921
141,(EA_A + IP_B)/(exp(EA_B)),0.190150836738936,0.32214992950410415,0.003162110477397723
142,(EA_A + IP_B)/(exp(IP_A)),0.1786313462411666,-0.5476729845620152,1.0096775595978071e-07
143,(EA_A + IP_B)/(exp(IP_B)),0.2045834532596147,0.15302949520012,0.16988710370761786
144,(EA_A + IP_B)/(exp(Z_A)),0.2107176397430842,-0.037686355280866994,0.7367616441709397
145,(EA_A + IP_B)/(exp(Z_B)),0.1656161881528217,-0.5534023038989755,6.961981804426013e-08
146,(EA_A + IP_B)/(exp(rp_A)),0.06746783777732,-0.8452108359021587,1.7841934046564584e-23
147,(EA_A + IP_B)/(exp(rp_B)),0.2085829051154905,0.10362723669192844,0.3541986517889116
148,(EA_A + IP_B)/(exp(rs_A)),0.1266111945919683,-0.6569421590791663,2.0501071621505476e-11
149,(EA_A + IP_B)/(exp(rs_B)),0.2066908348760279,0.13788108492783838,0.21671575514661262
150,(EA_A + IP_B)/(sqrt(fabs(EA_A))),0.2203518789949909,-0.09730833649107015,0.38446254103877237
151,(EA_A + IP_B)/(sqrt(fabs(EA_B))),0.1889628698298697,-0.39175720923524016,0.0002729825445375028
152,(EA_A + IP_B)/(sqrt(fabs(IP_A))),0.1873517034814201,0.3440063268411708,0.001553700123655546
153,(EA_A + IP_B)/(sqrt(fabs(IP_B))),0.2053038708873128,0.16101503853411064,0.1484249968952355
154,(EA_A + IP_B)/(sqrt(fabs(Z_A))),0.2077158103813904,-0.21411293260911826,0.053412099123408475
155,(EA_A + IP_B)/(sqrt(fabs(Z_B))),0.2123482410579103,-0.07373223143528129,0.5103321368669378
156,(EA_A + IP_B)/(sqrt(fabs(rp_A))),0.1817234619491032,-0.4294986028370444,5.659338787593288e-05
157,(EA_A + IP_B)/(sqrt(fabs(rp_B))),0.2072071297935644,0.12796864190230833,0.2519055057957164
158,(EA_A + IP_B)/(sqrt(fabs(rs_A))),0.19814450049794,-0.29106435503745565,0.007979412212401952
159,(EA_A + IP_B)/(sqrt(fabs(rs_B))),0.2057306178876772,0.15249392710030563,0.17140416294296287
160,(EA_A + IP_B**2)/((EA_A**2)),0.1904617526639877,0.38658134764442026,0.0003339412701110969
161,(EA_A + IP_B**2)/((EA_A**3)),0.1722936282466404,-0.47807423816437483,5.56389350567787e-06
